state,county,less_than_high_school_diploma_2015-19,high_school_diploma_only_2015-19,some_college_or_associate_ degree_2015-19,bachelor_degree_or_higher_2015-19
ID,Kootenai County,7465,29662,44412,27458
ID,Latah County,928,4404,6851,10134
ID,Lemhi County,469,1793,2306,1357
ID,Lewis County,313,805,1112,486
ID,Lincoln County,787,1118,1111,345
ID,Madison County,668,2485,7244,5948
ID,Minidoka County,2691,4154,4275,1821
ID,Nez Perce County,2228,9001,10366,6419
ID,Oneida County,268,955,1045,468
ID,Owyhee County,1799,2515,2322,905
ID,Payette County,2189,5300,5386,2391
ID,Power County,1031,1621,1560,751
ID,Shoshone County,1271,3402,3466,1062
ID,Teton County,481,1278,2788,3155
ID,Twin Falls County,6973,14682,21230,11146
ID,Valley County,460,2272,3200,2588
ID,Washington County,1066,2406,2485,1164
IL,Illinois,937042,2254524,2484708,3010025
IL,Adams County,3451,16335,14829,11510
IL,Alexander County,605,1832,1480,580
IL,Bond County,1266,3888,3904,2683
IL,Boone County,4829,12192,9775,8212
IL,Brown County,826,1825,1528,684
IL,Bureau County,2165,8630,7928,4859
IL,Calhoun County,294,1516,1183,497
IL,Carroll County,942,4066,3573,2082
IL,Cass County,1358,3663,2198,1284
IL,Champaign County,6099,26859,34093,54913
IL,Christian County,2439,9892,7298,4046
IL,Clark County,786,4371,3612,2172
IL,Clay County,1123,3605,3212,1398
IL,Clinton County,2649,8516,9597,5958
IL,Coles County,2846,10048,11512,8555
IL,Cook County,461880,829451,903730,1392515
IL,Crawford County,2066,3938,5421,2351
IL,Cumberland County,716,3054,2670,1175
IL,DeKalb County,4727,15289,21524,19856
IL,De Witt County,965,4297,3694,2425
IL,Douglas County,2200,4378,4062,2473
IL,DuPage County,44483,115986,161269,313945
IL,Edgar County,1256,4721,4496,2182
IL,Edwards County,362,1560,1966,628
IL,Effingham County,1622,8368,8077,5312
IL,Fayette County,2479,6146,4951,1727
IL,Ford County,888,3299,3117,1983
IL,Franklin County,3045,9079,10781,4603
IL,Fulton County,2888,8779,9309,4467
IL,Gallatin County,485,1474,1343,402
IL,Greene County,879,4444,2818,1195
IL,Grundy County,2296,11417,12329,7756
